"","NFC_DLU.result","NFC_EFR.result","NFC_ERN.result","RBP_CHN.result","RBP_EPI.result","RBP_SED.result"
"SMCR8_124 2009-06-24","Other","NO","NO",NA,NA,NA
"SMCR8_131 2009-06-16","Forest","NO","NO","20","17","18"
"SMCR8_175 2009-06-09","Urban/Industrial","NO","NO",NA,NA,NA
"SMCR8_179 2009-06-01","NO","NO","NO",NA,NA,NA
"SMCR8_184 2009-07-07","Forest","NO","NO","20","18","20"
"SMCR8_191 2009-06-02","Suburban, Town","NO","NO",NA,NA,NA
"SMCR8_196 2009-05-24","Forest","NO","NO","20","16","17"
"SMCR8_197 2009-06-04","Urban/Industrial","NO","NO",NA,NA,NA
"SMCR8_197 2011-07-11","Urban/Industrial","NO","NO",NA,NA,NA
"SMCR8_207 2009-06-07","Other","NO","NO",NA,NA,NA
"SMCR8_218 2009-06-23","Forest","NO","NO","20","18","20"
"SMCR8_219 2009-07-06","Forest","NO","NO","20","20","18"
"SMCR8_229 2009-06-01","Urban/Industrial","NO","NO",NA,NA,NA
"SMCR8_240 2010-06-23","Forest","NO","NO","20","18","12"
"SMCR8_254 2009-06-16","Forest","NO","NO","20","13","11"
"SMCR8_254 2011-07-19","Forest","NO","NO","20","18","16"
"SMCR8_262 2009-06-07","Urban/Industrial","NO","NO",NA,NA,NA
"SMCR8_274 2010-06-17","Forest","NO","NO","20","19","20"
"SMCR8_275 2009-06-09","Urban/Industrial","NO","NO",NA,NA,NA
"SMCR8_289 2009-06-03","Other","NO","NO","19","12","15"
"SMCR8_299 2009-06-09","Urban/Industrial","NO","NO",NA,NA,NA
"SMCR8_312 2009-06-14","Suburban, Town","NO","NO",NA,NA,NA
"SMCR8_312 2011-07-26","Suburban, Town","NO","NO",NA,NA,NA
"SMCR8_317 2009-06-03","Forest","NO","NO","20","16","20"
"SMCR8_327 2009-06-28","Other","NO","NO","20","1","2"
"SMCR8_333 2009-06-17","Forest","NO","NO","20","11","11"
"SMCR8_339 2009-06-08","Other","NO","NO",NA,NA,NA
"SMCR8_339 2011-07-25","Forest","NO","NO","18","16","15"
"SMCR8_344 2009-06-15","Forest","NO","NO","20","14","20"
"SMCR8_356 2010-06-10","Suburban, Town","NO","NO",NA,NA,NA
"SMCR8_376 2009-06-11","Forest","NO","NO","12","16","19"
"SMCR8_404 2011-06-15","Urban/Industrial","NO","NO",NA,NA,NA
"SMCR8_407 2010-06-21","Forest","NO","NO",NA,NA,NA
"SMCR8_415 2009-07-08","Other","NO","NO","20","3","19"
"SMCR8_418 2009-06-08","Urban/Industrial","NO","NO",NA,NA,NA
"SMCR8_418 2011-07-13","Suburban, Town","NO","NO",NA,NA,NA
"SMCR8_436 2010-06-23","Forest","NO","NO","20","19","19"
"SMCR8_439 2011-06-08","Suburban, Town","NO","NO",NA,NA,NA
"SMCR8_445 2010-06-24","Forest","NO","NO","20","16","12"
"SMCR8_453 2011-07-12","Forest","NO","NO",NA,NA,NA
"SMCR8_467 2011-06-09","Other","NO","NO",NA,NA,NA
"SMCR8_474 2009-07-05","Forest","NO","NO","20","20","19"
"SMCR8_483 2011-06-06","Other","NO","NO","20","17","12"
"SMCR8_494 2011-06-20","Suburban, Town","NO","NO",NA,NA,NA
"SMCR8_501 2011-06-14","Forest","NO","NO","12","14","12"
"SMCR8_511 2011-06-09","Range","NO","NO",NA,NA,NA
"SMCR8_512 2011-07-19","Forest","NO","NO","20","16","18"
"SMCR8_513 2009-06-22","Forest","NO","NO","20","16","19"
"SMCR8_521 2011-06-06","Urban/Industrial","NO","NO",NA,NA,NA
"SMCR8_528 2011-07-11","Suburban, Town","NO","NO",NA,NA,NA
"SMCR8_533 2011-06-07","Forest","NO","NO","16","9","15"
"SMCR8_549 2011-06-13","Suburban, Town","NO","NO",NA,NA,NA
"SMCR8_558 2011-08-08","Suburban, Town","NO","NO",NA,NA,NA
"SMCR8_566 2011-06-15","Range","NO","NO",NA,NA,NA
"SMCR8_572 2009-06-30","Other","NO","NO",NA,NA,NA
"SMCR8_575 2011-06-07","Forest","NO","NO","20","12","16"
"SMCR8_590 2011-07-20","Forest","NO","NO","20","18","19"
"SMCR8_593 2011-06-13","Suburban, Town","NO","NO",NA,NA,NA
"SMCR8_594 2011-06-20","Suburban, Town","NO","NO",NA,NA,NA
"SMCR8_598 2010-06-15","Suburban, Town","NO","NO",NA,NA,NA
"SMCR8_600 2009-06-28","Other","NO","NO","17","15","18"
"SMCR8_601 2009-06-24","Urban/Industrial","NO","NO",NA,NA,NA
"SMCR8_605 2009-07-01","Forest","NO","NO","Not Recorded","Not Recorded","Not Recorded"
"SMCR8_607 2011-07-19","Forest","NO","NO","20","19","19"
"SMCR8_613 2009-06-29","Other","NO","NO","20","2","2"
"SMCR8_618 2011-07-19","Forest","NO","NO","20","11","19"
"SMCR8_622 2011-06-16","Suburban, Town","NO","NO",NA,NA,NA
"SMCR8_629 2011-07-14","Suburban, Town","NO","NO",NA,NA,NA
"SMCR8_633 2011-07-26","Urban/Industrial","NO","NO",NA,NA,NA
"SMCR8_688 2009-07-01","Forest","NO","NO","20","18","18"
"VA_RC 2010-06-02","Suburban, Town","NO","NO","14","7","5"
"WN_RD 2010-05-27","Other","NO","NO",NA,NA,NA
"WN_RD1 2010-05-27","Other","NO","NO",NA,NA,NA
