"","XBKF_H.result","XBKF_H.count","XBKF_H.sd","XKBF_W.result","XKBF_W.count","XKBF_W.sd","XWDEPTH.result","XWDEPTH.count","XWDEPTH.sd","XWIDTH.result","XWIDTH.count","XWIDTH.sd","XWDR.result","XWDR.count","XWDA.result","XWDA.count","XWDM.result","XWDM.count"
"102PS0139 2010-07-15",0,1,NA,-30,1,NA,NA,0,NA,25,1,NA,NA,1,NA,0,NA,0
"202PES162 2010-07-20",NA,0,NA,NA,0,NA,NA,0,NA,0,1,NA,NA,1,NA,0,NA,0
"403S00640 2009-06-11",1.35454545454545,11,0.0522232967867093,13.6545454545455,11,4.83701636060157,6.18095238095238,105,9.16701964022381,3.45,21,1.26095202129185,55.8166409861325,21,0.179158040027605,105,15.2857142857143,21
"403S00772 2009-05-20",1.13636363636364,11,0.156669890360128,39.6181818181818,11,2.56975414458978,14.352380952381,105,21.8350375421904,13.4619047619048,21,1.99911885351427,93.7956204379562,21,0.106614785992218,105,34.3809523809524,21
"403S01163 2009-06-08",1.31818181818182,11,0.125045446283996,45.6363636363636,11,4.88411153174715,16.5428571428571,105,19.9971289148009,8.56285714285714,21,2.86153305564892,51.7616580310881,21,0.193193193193193,105,40.5714285714286,21
"403S01195 2009-06-10",1.90909090909091,11,0.0301511344577764,61.9090909090909,11,9.06040336248387,15.8952380952381,105,20.7364060241531,9.36190476190476,21,2.20101708091423,58.8975434391851,21,0.169786368260427,105,37.5714285714286,21
"403S01272 2009-06-09",1.06363636363636,11,0.0504524979109513,37.2727272727273,11,1.61807966991178,8.7047619047619,105,8.350407416965,4.63857142857143,21,0.639877220365639,53.2877461706783,21,0.187660404475926,105,19.1428571428571,21
"403S01784 2009-06-09",1,11,0,55,11,0,10.752380952381,105,9.23182304729444,19.5809523809524,21,3.18239203235853,182.108060230292,21,0.0549124513618677,105,22.2857142857143,21
"403S03832 2009-06-08",0.7,11,0,44,11,0,4.36190476190476,105,5.28991022448871,6.00238095238095,21,3.03967416800207,137.609170305677,21,0.0726695755652519,105,11.3333333333333,21
"403S14156 2009-06-09",1,11,0,39.7272727272727,11,1.34839972492648,9.87619047619048,105,9.48449670017749,4.35952380952381,21,1.3158285457858,44.1417550626808,21,0.226542872747133,105,21.047619047619,21
"404S02920 2009-05-12",0.581818181818182,11,0.0337099931231621,11.6,11,3.11319771296331,16.5904761904762,105,28.7354294978326,5.30952380952381,21,2.63323085997122,32.0034443168772,21,0.312466367713005,105,43.8571428571429,21
"404S03048 2009-05-13",0.34,11,0.0426614580154031,5.46363636363636,11,1.98960937235063,11.5904761904762,105,15.2981240919467,2.58095238095238,21,1.15795900083684,22.2678718159408,21,0.449077490774908,105,25.6190476190476,21
"404S05992 2009-05-12",5.37818181818182,11,14.847572743167,12.6727272727273,11,4.61434522095842,23.0952380952381,105,29.7568750328661,4.09047619047619,21,2.22168961871472,17.7113402061856,21,0.564610011641443,105,48.2857142857143,21
"404S06456 2009-05-14",0.495454545454545,11,0.0269679944985297,8.94545454545455,11,1.73226074039888,11.4380952380952,105,19.2038276480757,5.09047619047619,21,1.50363052705934,44.5045795170691,21,0.224695977549111,105,31.8571428571429,21
"404S08040 2009-05-12",0.3,11,0,9.32727272727273,11,0.572871554697751,0.638095238095238,105,0.622090296497492,3.23571428571429,21,0.657864510583839,507.089552238806,21,0.0197203826342899,105,1.33333333333333,21
"404S08616 2009-05-13",0.245454545454545,11,0.0150755672288882,24.6818181818182,11,2.83613052655134,24.6285714285714,105,28.9486472192428,17.3333333333333,21,7.79335186767115,70.3789636504254,21,0.142087912087912,105,66.9047619047619,21
"404S11406 2009-05-11",1.14545454545455,11,0.103572548135463,19.5636363636364,11,5.00085447244223,21.447619047619,105,24.1951127266124,10.9190476190476,21,4.18409118538531,50.9103019538188,21,0.196423898822503,105,49.1904761904762,21
"404S16516 2009-05-18",0.613636363636364,11,0.0323334895341432,9.4,11,1.30076900332073,26.3640952380952,105,33.105401827846,5.48333333333333,21,1.67958725088438,20.7984885648953,21,0.480804168475901,105,57.0952380952381,21
"404S17266 2009-05-19",14.6636363636364,11,24.2818665974127,7.15454545454546,11,1.52863575541307,12.7809523809524,105,14.1251146709988,4.26190476190476,21,1.2662844034719,33.3457526080477,21,0.299888268156425,105,28.3809523809524,21
"404S17664 2009-05-20",0.509090909090909,11,0.0301511344577764,6.5,11,0,11.9142857142857,105,15.612565381839,5.61428571428571,21,0.035856858280032,47.1223021582734,21,0.212213740458015,105,35.6190476190476,21
"404S22464 2009-05-19",0.591818181818182,11,0.126634764722661,7.14545454545454,11,2.46915517388585,22.3428571428571,105,26.9960212778692,4.48333333333333,21,1.19627895297599,20.0660699062234,21,0.498353690918747,105,38.5238095238095,21
"901S00313 2009-04-30",0.418181818181818,11,0.0404519917477945,6.95454545454545,11,2.46510187877241,7.4,105,9.68603276730111,3.18571428571429,21,1.4873754449653,43.0501930501931,21,0.232286995515695,105,19.8095238095238,21
"901S00469 2009-05-13",0.5,11,0,8.81818181818182,11,2.78633026822672,12.12,100,19.6207888102225,2.655,20,1.72275024918084,21.9059405940594,20,0.456497175141243,100,26.25,20
"901S00531 2009-05-07",0.4,11,0,2,11,0,6.34285714285714,105,5.69045856511746,1.3,21,0,20.4954954954955,21,0.487912087912088,105,13.952380952381,21
"901S00997 2009-05-14",0.790909090909091,11,0.0301511344577764,12.1454545454545,11,2.68714109654243,20.1057692307692,104,26.2345352575425,8.09047619047619,21,0.855514325949462,40.2395755049987,21,0.248511567890614,104,38.2,20
"901S01705 2009-05-14",0.418181818181818,11,0.0404519917477945,6.60909090909091,11,3.60179248304356,5.45714285714286,105,6.64198269087884,2.12380952380952,21,1.13705970023775,38.9179755671902,21,0.25695067264574,105,13.2380952380952,21
"901S01811 2009-05-07",1.5,11,0,27.0454545454545,11,6.78400525299968,32.7428571428571,105,40.4427488440874,5.57142857142857,21,2.22870878697574,17.0157068062827,21,0.587692307692308,105,65.3809523809524,21
"901S06030 2009-04-30",0.8,10,0,30,11,0,8.24761904761905,105,16.8538861943909,3.28095238095238,21,2.73872580730877,39.7806004618938,21,0.251378809869376,105,19.1428571428571,21
"901SJMS1x 2008-04-23",0.205454545454545,11,0.0636181792200368,8.64,11,2.27195510519024,4.27619047619048,105,4.65542536702989,4.7152380952381,21,1.54176722966737,110.267260579065,21,0.0906887497475257,105,10.5238095238095,21
"901SJMS1x 2008-05-13",NA,0,NA,NA,0,NA,4.44761904761905,105,4.76057719589707,4.217,10,1.42967012512211,94.8147751605996,10,0.105468794110008,105,10.2857142857143,21
"901SJMS1x 2008-06-02",NA,0,NA,NA,0,NA,2.3952380952381,105,3.49153869960545,3.397,10,0.895396249961124,141.823061630219,10,0.0705103943255253,105,7,21
"901SJMS1x 2008-06-25",NA,0,NA,NA,0,NA,1.91111111111111,45,2.53675008822332,2.4525,4,1.0340656007559,128.328488372093,4,0.0779250198210443,45,5.33333333333333,9
"901SJMS1x 2008-07-03",NA,0,NA,NA,0,NA,1.78333333333333,30,2.65448005602153,2.48,3,1.10990990625366,139.065420560748,3,0.0719086021505376,30,5.41666666666667,6
"901SJOF1x 2008-04-28",0.327,10,0.141425284553757,4.479,10,1.49509903053648,4.78,100,6.52397288638006,2.1155,20,0.943071549442788,44.2573221757322,20,0.225951311746632,100,10.9,20
"901SJOF1x 2008-05-16",NA,0,NA,NA,0,NA,5.03333333333333,105,5.47383051553668,2.27,10,0.758111689220878,45.0993377483444,10,0.221732745961821,105,11.5238095238095,21
