"","W1H_BRDG.result","W1H_BRDG.count","W1H_BRDG.sd","W1H_BLDG.result","W1H_BLDG.count","W1H_BLDG.sd","W1H_LDFL.result","W1H_LDFL.count","W1H_LDFL.sd","W1H_LOG.result","W1H_LOG.count","W1H_LOG.sd","W1H_MINE.result","W1H_MINE.count","W1H_MINE.sd","W1H_ORVY.result","W1H_ORVY.count","W1H_ORVY.sd","W1H_PARK.result","W1H_PARK.count","W1H_PARK.sd","W1H_PSTR.result","W1H_PSTR.count","W1H_PSTR.sd","W1H_PVMT.result","W1H_PVMT.count","W1H_PVMT.sd","W1H_PIPE.result","W1H_PIPE.count","W1H_PIPE.sd","W1H_ROAD.result","W1H_ROAD.count","W1H_ROAD.sd","W1H_CROP.result","W1H_CROP.count","W1H_CROP.sd","W1H_VEGM.result","W1H_VEGM.count","W1H_VEGM.sd","W1H_WALL.result","W1H_WALL.count","W1H_WALL.sd","W1_HALL_EMAP.result","W1_HALL_SWAMP.result"
"905DGSY1x 2010-09-15",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,1.5,11,0,0.0909545454545455,11,0.311555277453442,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,0
"905DGUT1 2010-05-13",0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,1.35,10,0.632455532033676,0,10,0,0.075,10,0.474341649025257,0,10,0,0,10,0,0,10,0,0,10,0,0,0
"905DGUT1 2010-06-02",0,11,0,0,11,0,0.136363636363636,11,0.904534033733291,0,11,0,0,11,0,0,11,0,0,11,0,1.5,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.136363636363636,0.136363636363636
"905DGUT1 2010-06-16",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,1.5,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,0
"905DGUT1 2010-06-29",0,9,NA,0,9,NA,0,9,NA,0,9,NA,0,9,NA,0,9,NA,0,9,NA,1.5,9,NA,0,9,NA,0,9,NA,0,9,NA,0,9,NA,0,9,NA,0,9,NA,0,0
"905DGUT1 2010-07-13",0,6,NA,0,6,NA,0,6,NA,0,6,NA,0,6,NA,0,6,NA,0,6,NA,1.5,6,NA,0,6,NA,0,6,NA,0,6,NA,0,6,NA,0,6,NA,0,6,NA,0,0
"905S01953 2009-04-29",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,0
"907S00577 2009-05-12",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,0
"907S01418 2009-05-12",0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,0
"907S01434 2009-05-13",0,11,0,0.0606363636363636,11,0.269814784957789,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0.0606363636363636,0.0606363636363636
