"","PCT_CF.result","PCT_CF.count","PCT_CF.sd","PCT_DR.result","PCT_DR.count","PCT_DR.sd","PCT_GL.result","PCT_GL.count","PCT_GL.sd","PCT_POOL.result","PCT_POOL.count","PCT_POOL.sd","PCT_RA.result","PCT_RA.count","PCT_RA.sd","PCT_RI.result","PCT_RI.count","PCT_RI.sd","PCT_RN.result","PCT_RN.count","PCT_RN.sd","PCT_FAST.result","PCT_SLOW.result","PCT_CF_WT.result","PCT_CF_WT.count","PCT_GL_WT.result","PCT_GL_WT.count","PCT_POOL_WT.result","PCT_POOL_WT.count","PCT_RA_WT.result","PCT_RA_WT.count","PCT_RI_WT.result","PCT_RI_WT.count","PCT_RN_WT.result","PCT_RN_WT.count","PCT_FAST_WT.result","PCT_SLOW_WT.result"
"901S01811 2009-05-07",1.5,10,4.74341649025257,5,10,15.8113883008419,65.5,10,39.7527078043468,23,10,41.6466618643613,0,10,0,5,10,15.8113883008419,0,10,0,6.5,88.5,1.425,10,62.225,10,21.85,10,0,10,4.75,10,0,10,6.175,84.075
"901S06030 2009-04-30",0,10,0,15,10,33.7474278855276,75,10,42.4918292799399,10,10,31.6227766016838,0,10,0,0,10,0,0,10,0,0,85,0,10,63.75,10,8.5,10,0,10,0,10,0,10,0,72.25
"901SJMS1x 2008-04-23",0,10,0,4.5,10,3.68932393686311,55,10,35.1188458428425,5.5,10,6.43341968853959,0,10,0,35,10,37.0435179514881,0,10,0,35,60.5,0,10,52.525,10,5.2525,10,0,10,33.425,10,0,10,33.425,57.7775
"901SJMS1x 2008-05-13",0,10,0,8.5,10,4.74341649025257,49.5,10,34.1930792217763,6.5,10,6.25832778517286,0,10,0,35.5,10,28.4263180091189,0,10,0,35.5,56,0,10,45.2925,10,5.9475,10,0,10,32.4825,10,0,10,32.4825,51.24
"901SJMS1x 2008-06-02",0,10,0,18.5,10,16.6749979177077,46,10,26.7498701969852,24.5,10,28.9107823023406,0,10,0,11,10,13.4989711542111,0,10,0,11,70.5,0,10,37.49,10,19.9675,10,0,10,8.965,10,0,10,8.965,57.4575
"901SJMS1x 2008-06-25",0,10,0,65.5,10,45.3045251602972,19,10,28.5579333208052,13.5,10,20.2827239021017,0,10,0,2,10,3.4960294939005,0,10,0,2,32.5,0,10,6.555,10,4.6575,10,0,10,0.69,10,0,10,0.69,11.2125
"901SJMS1x 2008-07-03",0,10,0,81,10,35.418137224372,0,10,0,18,10,33.3499958354154,0,10,0,1,10,2.10818510677892,0,10,0,1,18,0,10,0,10,3.42,10,0,10,0.19,10,0,10,0.19,3.42
"901SJOF1x 2008-04-28",0,10,0,9.5,10,7.24568837309472,39,10,31.4289321768618,42,10,37.7270901784558,0,10,0,9.5,10,12.5720147770974,0,10,0,9.5,81,0,10,35.295,10,38.01,10,0,10,8.5975,10,0,10,8.5975,73.305
"901SJOF1x 2008-05-16",0,10,0,16.5,10,23.2199626758241,36.5,10,30.1892180900547,35,10,26.9773567603977,0,10,0,12,10,24.6306042692149,0,10,0,12,71.5,0,10,30.4775,10,29.225,10,0,10,10.02,10,0,10,10.02,59.7025
"901SJOF1x 2008-06-05",0,10,0,7.5,10,5.40061724867322,50,10,33.9934634239519,40,10,35.9783885748715,0,10,0,2.5,10,4.85912657903775,0,10,0,2.5,90,0,10,46.25,10,37,10,0,10,2.3125,10,0,10,2.3125,83.25
"901SJOF1x 2008-06-25",0,10,0,26.5,10,27.5932761536011,0,10,0,72,10,26.5832027165025,0,10,0,1.5,10,2.41522945769824,0,10,0,1.5,72,0,10,0,10,52.92,10,0,10,1.1025,10,0,10,1.1025,52.92
"901SJOF1x 2008-07-03",0,10,0,82.5,10,26.6926956300783,0,10,0,17.5,10,26.6926956300783,0,10,0,0,10,0,0,10,0,0,17.5,0,10,0,10,3.0625,10,0,10,0,10,0,10,0,3.0625
"901TCSMP1 2010-04-05",0,4,0,3.75,4,4.78713553878169,55,4,33.4165627596057,1.25,4,2.5,0,4,0,40,4,31.6227766016838,0,4,0,40,56.25,0,4,21.175,4,0.48125,4,0,4,15.4,4,0,4,15.4,21.65625
"901TCSMP1 2010-05-05",0,10,0,0,10,0,60,10,24.0370085030933,0,10,0,0,10,0,40,10,24.0370085030933,0,10,0,40,60,0,10,60,10,0,10,0,10,40,10,0,10,40,60
"901TCSMP1 2010-05-25",0,10,0,13,10,31.9895816373602,87,10,31.9895816373602,0,10,0,0,10,0,0,10,0,0,10,0,0,87,0,10,75.69,10,0,10,0,10,0,10,0,10,0,75.69
"902S00565 2009-04-27",0.5,10,1.58113883008419,0,10,0,57.5,10,36.1516866058064,3,10,9.48683298050514,0,10,0,3,10,9.48683298050514,36,10,33.3999334663343,39.5,60.5,0.5,10,57.5,10,3,10,0,10,3,10,36,10,39.5,60.5
"902S01097 2009-05-11",0,10,0,0,10,0,93,10,22.1359436211787,0,10,0,0,10,0,7,10,22.1359436211787,0,10,0,7,93,0,10,93,10,0,10,0,10,7,10,0,10,7,93
"902SMAS1x 2008-04-02",0,10,0,9.5,10,6.43341968853959,38,10,39.595173667731,2.5,10,3.53553390593274,0,10,0,50,10,39.8608691436713,0,10,0,50,40.5,0,10,34.39,10,2.2625,10,0,10,45.25,10,0,10,45.25,36.6525
"902SMAS1x 2008-04-08",1.5,10,3.37474278855276,25.5,10,11.413929112176,44.5,10,32.184364734034,6,10,12.6491106406735,1,10,3.16227766016838,21.5,10,28.3872036899257,0,10,0,24,50.5,1.1175,10,33.1525,10,4.47,10,0.745,10,16.0175,10,0,10,17.88,37.6225
"902SMAS1x 2008-05-12",0,10,0,14,10,9.94428926011753,49,10,33.3166624979154,2.5,10,3.53553390593274,0,10,0,34.5,10,29.7629523625149,0,10,0,34.5,51.5,0,10,42.14,10,2.15,10,0,10,29.67,10,0,10,29.67,44.29
"902SMAS1x 2008-06-02",0,10,0,13.5,10,30.1892180900547,15.5,10,31.4863286028856,0,10,0,0,10,0,1,10,3.16227766016838,0,10,0,1,15.5,0,10,2.5575,10,0,10,0,10,0.165,10,0,10,0.165,2.5575
"903ACPCT1 2010-05-11",0,10,0,0,10,0,33,10,11.5950180872841,0,10,0,0,10,0,67,10,11.5950180872841,0,10,0,67,33,0,10,33,10,0,10,0,10,67,10,0,10,67,33
"903ACPCT1 2010-05-25",0,10,0,0,10,0,17,10,4.21637021355784,0,10,0,0,10,0,83,10,4.21637021355784,0,10,0,83,17,0,10,17,10,0,10,0,10,83,10,0,10,83,17
"903ACPCT1 2010-06-15",0,10,0,0,10,0,6,10,3.94405318873308,0,10,0,0,10,0,94,10,3.94405318873308,0,10,0,94,6,0,10,6,10,0,10,0,10,94,10,0,10,94,6
"903ACPCT1 2010-06-30",0,10,0,0,10,0,5.5,10,2.83823106098773,0,10,0,0,10,0,94.5,10,2.83823106098773,0,10,0,94.5,5.5,0,10,5.5,10,0,10,0,10,94.5,10,0,10,94.5,5.5
"903ACPCT1 2010-07-13",0,10,0,53,10,40.0138864784603,47,10,40.0138864784603,0,10,0,0,10,0,0,10,0,0,10,0,0,47,0,10,22.09,10,0,10,0,10,0,10,0,10,0,22.09
"903CVPCT1 2010-05-10",0,10,0,0,10,0,27,10,20.4396129556745,0,10,0,0,10,0,73,10,20.4396129556745,0,10,0,73,27,0,10,27,10,0,10,0,10,73,10,0,10,73,27
"903CVPCT1 2010-06-01",0.5,10,1.58113883008419,0,10,0,17,10,9.18936583472681,0,10,0,0,10,0,82.5,10,9.20446751432272,0,10,0,83,17,0.5,10,17,10,0,10,0,10,82.5,10,0,10,83,17
"903CVPCT1 2010-06-15",0,10,0,0,10,0,10.5,10,18.6264447612647,0,10,0,0,10,0,89.5,10,18.6264447612647,0,10,0,89.5,10.5,0,10,10.5,10,0,10,0,10,89.5,10,0,10,89.5,10.5
"903CVPCT1 2010-06-30",0,10,0,0,10,0,21,10,14.4913767461894,1,10,3.16227766016838,0,10,0,78,10,13.1656117720877,0,10,0,78,22,0,10,21,10,1,10,0,10,78,10,0,10,78,22
"903CVPCT1 2010-07-13",0,10,0,45,10,39.510898637099,46,10,38.3550663030467,0,10,0,0,10,0,9,10,28.4604989415154,0,10,0,9,46,0,10,25.3,10,0,10,0,10,4.95,10,0,10,4.95,25.3
"904S00537 2009-05-04",5,10,15.8113883008419,0,10,0,74.5,10,28.4263180091189,9.5,10,17.3925271309261,0,10,0,9,10,13.9044357430761,0,10,0,14,84,4.9,10,73.01,10,9.31,10,0,10,8.82,10,0,10,13.72,82.32
"905DGCC1 2010-05-12",7,10,9.48683298050514,0,10,0,33,10,18.8856206322871,13,10,19.607254893137,10,10,23.094010767585,37,10,27.406406388126,0,10,0,54,46,7,10,33,10,13,10,10,10,37,10,0,10,54,46
"905DGCC1 2010-06-02",4,10,5.16397779494322,0,10,0,49,10,19.5505043981536,0.5,10,1.58113883008419,0,10,0,46.5,10,18.5666965888448,0,10,0,50.5,49.5,4,10,49,10,0.5,10,0,10,46.5,10,0,10,50.5,49.5
"905DGCC1 2010-06-16",1,10,3.16227766016838,0,10,0,31.5,10,24.1580444388843,0,10,0,0,10,0,67.5,10,23.1240615425193,0,10,0,68.5,31.5,1,10,31.5,10,0,10,0,10,67.5,10,0,10,68.5,31.5
"905DGCC1 2010-06-29",2,10,4.21637021355784,10,10,31.6227766016838,32,10,19.3218356615859,3,10,9.48683298050514,0,10,0,53,10,24.0601099101581,0,10,0,55,35,1.8,10,28.8,10,2.7,10,0,10,47.7,10,0,10,49.5,31.5
"905DGCC1 2010-07-13",0,10,0,70,10,48.3045891539648,20,10,42.1637021355784,9,10,28.4604989415154,0,10,0,1,10,3.16227766016838,0,10,0,1,29,0,10,6,10,2.7,10,0,10,0.3,10,0,10,0.3,8.7
