"","XWAK.result","XWDO.result","XWPH.result","XWSL.result","XWSC.result","XWTC.result","XWTF.result","XWTB.result"
"905DGSY1x 2010-06-14",74,7.34,8.12,0.17,285,23.65,74.57,8.37
"905DGSY1x 2010-06-29",72,7.15,8.13,0.16,341,24.35,75.83,1.74
"905DGSY1x 2010-07-20",88,5.87,7.95,0.16,322,22.91,73.238,1.55
"905DGSY1x 2010-08-19",72,7.56,8.02,0.16,318,23.58,74.444,0.96
"905DGSY1x 2010-09-15",88,6.6,7.57,0.2,333,18.2,64.76,1.2
"905DGUT1 2010-05-13",179.2,8.89,8.17,0.3,525,15.1,59.18,0.36
"905DGUT1 2010-06-02",136.6,7.9,7.42,0.29,482,15.24,59.432,0.57
"905DGUT1 2010-06-16",160,7.95,7.73,0.27,476,16.89,62.402,0.27
"905DGUT1 2010-06-29",156.8,7.12,7.48,0.03,525,17.75,63.95,1.68
"905DGUT1 2010-07-13",176,6.79,7.25,0.31,554,18.01,64.418,1.6
"905S01953 2009-04-29",362,8.8,8.1,0.6,1135,17.6,63.68,NA
"907S00577 2009-05-12",145,5.15,7.3,0.1,137.4,17.4,63.32,0.56
"907S01418 2009-05-12",170,7.8,8.5,0.3,543,24.5,76.1,1.01
"907S01434 2009-05-13",155,5.65,8,0.2,360,16.3,61.34,0.24
"907SRSD1x 2008-04-11",128,9.04,7.78,0.2,428,10.7,51.26,0.85
"907SRSD1x 2008-04-25",137.6,9.49,7.9,0.2,378,10.9,51.62,0.39
"907SRSD1x 2008-07-02",132,6.67,7.27,0.2,459,29.5,85.1,1.11
"907SRSD1x 2008-07-09",150,4.86,7.24,0.2,487,28.9,84.02,0.93
"907SRSD1x 2010-05-04",178.4,8.2,7.8,0.2,3.94,12.8,55.04,0.75
"907SRSD1x 2010-06-01",108.8,8.67,8.03,0.22,389,18.65,65.57,0.77
"907SRSD1x 2010-06-15",128,6.65,8.33,0.2,360,25.42,77.756,1.35
"907SRSD1x 2010-06-29",118,6.5,6.47,0.21,451,25.3,77.54,5.87
"907SRSD1x 2010-07-13",128,8.67,7.92,0.22,376,16.9,62.42,1.56
"911NCPCR2 2010-04-28",182.8,9.27,8.41,0.2,414,11.2,52.16,0.87
"911NCPCR2 2010-05-24",129.2,9.17,8.54,0.25,410,15.43,59.774,0.58
"911NCPCR2 2010-06-14",136,8.2,8.2,0.26,414,12.9,55.22,0.34
"911NCPCR2 2010-06-30",116,10.47,8.8,0.23,474,24.17,75.506,0.6
"911NCPCR2 2010-07-20",153.6,5.9,7.7,0.25,457,17.8,64.04,0.36
"911NCPCR2 2010-08-19",136,6.43,7.61,0.24,426,17.69,63.842,0.46
"911NCPCR2 2010-09-14",NA,6.74,8.02,0.2,450,16.8,62.24,0.46
"911NCPCR2 2010-09-15",88,6.6,7.57,0.2,333,18.2,64.76,1.2
"911S00538 2009-05-05",180,8.5,8.5,0.1,140,23.2,73.76,0.62
"911S01818 2009-05-06",130,10.61,8.2,0.1,97.7,22.8,73.04,0.79
"911S02058 2009-05-05",153,8.83,8.4,0.4,759,23.1,73.58,0.52
"911S03354 2009-05-05",180,8.17,NA,0.4,793,21.2,70.16,NA
"911S04086 2009-05-06",350,6.8,8.3,0.5,1075,18.4,65.12,0.75
"911TJPC2 2010-04-27",134.8,9.33,8.11,0.2,353,10.3,50.54,NA
"911TJPC2 2010-05-24",133.6,9.64,7.53,0.22,354,8.23,46.814,0.7
"911TJPC2 2010-06-14",108,9.1,8.2,0.21,377,22.65,72.77,0.45
"911TJPC2 2010-07-01",100,8.05,7.76,0.23,347,11.67,53.006,0.3
"911TJPC2 2010-07-19",NA,NA,NA,NA,NA,NA,NA,NA
"LALT500 2009-06-22",0,12.85,9.08,0.4,827,27.64,81.752,-1.9
"LALT500 2010-07-15",0,14.39,9.38,0.38,774,25.15,77.27,78.7
"LALT501 2010-07-15",72,12.2,9.64,0.47,981,37.15,98.87,2.4
"LALT-501 2009-06-22",208,9.86,8.26,0.49,993,24.1,75.38,2.9
"LALT502 2009-06-22",0,5.14,7.49,0.38,716,25.2,77.36,8.2
"LALT502 2010-07-15",200,4.89,7.66,0.57,1159,26.26,79.268,3
"LALT503 2010-07-15",300,5.99,8.07,1.09,213,23.37,74.066,58.9
"LAR0052 2010-07-08",301,9.95,8.3,0.3,553,NA,NA,NA
"LAR0080 2010-07-08",288,9.09,8.03,0.31,528,NA,NA,NA
"LAR0092 2010-07-27",NA,8.91,8.02,0.22,363,15.02,59.036,NA
