"","XWAK.result","XWDO.result","XWPH.result","XWSL.result","XWSC.result","XWTC.result","XWTF.result","XWTB.result"
"SMC03944 2010-07-12",204,13.75,8.34,1.64,3174,28.01,82.418,2.7
"SMC03971 2011-07-11",235,13.96,7.9,0.84,1666,26.65,79.97,NA
"SMC03988 2011-06-29",319,8.16,7.64,1.14,2221,17.16,62.888,NA
"SMC04047 2009-05-14",183,8.65,8.04,0.45,765,17.11,62.798,NA
"SMC04054 2009-05-27",320,5.62,7.51,1.21,2352,18.8,65.84,-1.6
"SMC04134 2011-07-26",288,7.67,7.81,1.34,2594,23.27,73.886,2.1
"SMC04175 2009-06-11",250,7.18,7.6,0.72,1149,14.96,58.928,NA
"SMC04239 2009-06-11",225,12.27,8.06,0.47,828,18.37,65.066,NA
"SMC04264 2010-07-09",404,5.33,7.65,1.53,2926,17.41,63.338,0.2
"SMC04308 2009-06-17",250,8.92,8.19,0.85,1431,17.2,62.96,NA
"SMC04383 2010-06-09",198,8.86,7.91,0.45,764,16.22,61.196,NA
"SMC04399 2009-06-11",240,8.28,7.92,0.67,1238,20.9,69.62,NA
"SMC04426 2011-07-25",180,7.87,8.15,0.25,524,22.33,72.194,0.1
"SMC04661 2011-07-18",128,8.51,7.91,0.48,967,21.68,71.024,5.2
"SMC04682 2011-07-25",128,7.05,8.31,0.18,361,26,78.8,3.8
"SMC04748 2009-07-02",232,8.61,8.16,0.54,1086,21.59,70.862,37.5
"SMC04749 2009-06-23",NA,5.8,8.65,0.01,85,19.6,67.28,53
"SMC04756 2010-07-07",196,8.32,7.49,0.94,1609,18.21,64.778,NA
"SMC04795 2011-07-14",194,9.11,8.17,0.47,956,13.89,57.002,NA
"SMC04932 2010-07-12",179,6.53,7.78,0.72,1296,20.18,68.324,NA
"SMC05109 2009-06-23",NA,5.7,8.41,0.99,196,21.4,70.52,4
"SMC05199 2011-07-06",268,9.22,8.1,0.61,1212,18.5,65.3,NA
"SMC05243 2010-06-10",213,9.11,8.11,0.67,1139,17.49,63.482,NA
"SMC05402 2011-07-28",160,8.12,8.3,0.33,671,20.64,69.152,2.6
"SMC05407 2011-07-21",203,8.38,7.9,0.41,832,18,64.4,NA
"SMC05524 2011-06-30",218,8.17,7.86,0.9,1772,16.67,62.006,NA
"SMC05702 2010-06-07",224,5.33,7.19,2.04,3847,19.81,67.658,7.2
"SMC05759 2010-06-21",256,8.46,7.73,0.75,1241,16.36,61.448,NA
"SMC06019 2010-06-17",253,10.2,7.67,1.05,2043,20.12,68.216,NA
"SMC06216 2009-05-26",191,8.84,8.35,0.23,461,22.3,72.14,NA
"SMC06458 2010-06-06",292,9.01,7.73,3.81,6972,27.35,81.23,0.3
"SMC06467 2010-06-28",270,9.95,7.99,1.17,2268,18.02,64.436,NA
"SMC06653 2010-07-01",250,7.8,8.2,0.5,1090,31.9,89.42,NA
"SMC06714 2010-06-06",284,7.52,7.54,3.88,7050,20.63,69.134,5
"SMC06863 2011-07-21",210,8.81,8,0.43,870,18.9,66.02,NA
"SMC06926 2009-07-01",316,9.03,8.25,0.74,956,19.58,67.244,-0.01
"SMC08150 2010-06-03",250,9.32,7.74,1.48,2837,21.03,69.854,4.9
"SMC08335 2010-07-07",230,10.25,8.02,0.51,868,17.31,63.158,NA
"SMC08426 2010-06-08",476,2.29,7.115,2.32,4836,18.13,64.634,9.8
"SMC08766 2009-05-26",NA,NA,NA,NA,NA,NA,NA,NA
"SMC08845 2009-06-22",NA,10.4,10.3,0.55,1112,31.7,89.06,144
"SMC09162 2011-08-01",280,6.29,7.3,0.48,978,19.8,67.64,2.3
"SMC09286 2010-06-09",364,6.96,7.97,1.9,3593,19.82,67.676,2.4
"SMC09534 2009-06-17",196,15.89,8.68,0.55,1119,29.04,84.272,0.1
"SMC09564 2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"SMC09591 2010-06-03",NA,10.31,7.56,0.13,268,24.13,75.434,NA
"SMC09698 2010-06-09",NA,8.92,6.8,0.04,0.092,11.77,53.186,NA
"SMC10146 2011-06-28",NA,5.68,7.08,0.15,0.305,19.42,66.956,NA
"SMC10189 2010-06-24",108,7,8.61,0.29,593,19.4,66.92,NA
"SMC10685 2010-07-01",95,10,7.72,0.4,855,25.4,77.72,NA
"SMC11394 2011-06-30",NA,11.74,7.23,0.08,0.159,14.3,57.74,NA
"SMC11581 2009-06-29",106,12.4,10.6,0.33,681,25.8,78.44,3.6
"SMC11727 2010-06-09",187,8.5,8.28,0.46,872,21.27,70.286,NA
"SMC12862 2011-06-27",138,11.6,7.66,0.44,890,26.54,79.772,NA
"SMC15677 2009-06-29",106,10.48,11.62,0.35,720,33.4,92.12,12
"SMC16266 2011-08-01",234,7.01,8.33,0.58,1171,30.28,86.504,3.7
"SMC16832 2010-06-18",164,21.5,9,0.49,1022,26.23,79.214,NA
"SMC16980 2011-07-06",280,8.02,7.94,0.59,1190,20.4,68.72,NA
"SMC17056 2009-07-02",328,7.64,7.75,0.5,661,23.67,74.606,-2.2
"SMC20032 2010-06-18",191,16.48,8.17,0.58,1210,27.03,80.654,NA
"SMC21822 2010-06-21",243,10.34,7.89,0.61,1215,20.66,69.188,NA
"SMC24222 2010-06-21",221,9.3,7.9,0.59,1179,23.58,74.444,NA
"SMC25288 2011-06-30",NA,8.26,7.29,0.07,0.158,16.09,60.962,NA
"SMC26288 2009-05-12",250,8.92,7.65,NA,1040,17.6,63.68,NA
"SMC26909 2010-05-31",NA,4.89,7.43,1.01,1977,21.56,70.808,NA
"SMC27709 2010-05-31",NA,3.9,6.83,1.02,2000,16.46,61.628,NA
"SMC32718 2010-06-03",200,4.7,7.55,0.41,810,16.52,61.736,7.7
"SMC32897 2010-06-21",130,12,8.86,0.4,910,28.9,84.02,NA
"SMC34888 2010-06-24",240,10.33,7.69,NA,991,21.58,70.844,NA
"SMC35697 2010-06-10",220,7.07,7.65,0.54,891,15.61,60.098,NA
"SMCR8_020 2011-07-12",NA,12.06,6.93,0.03,0.7,9.9,49.82,NA
"SMCR8_026 2009-05-31",NA,6.16,7.92,NA,378.9,17.15,62.87,NA
"SMCR8_105 2011-07-14",NA,10.61,7.93,0.19,0.393,13.66,56.588,NA
"SMCR8_116 2011-07-25",NA,8.84,7.62,1.03,2011,20.53,68.954,NA
"SMCR8_124 2009-06-24",NA,8.82,8.1,NA,227,15.79,60.422,NA
"SMCR8_131 2009-06-16",NA,9.78,8.12,NA,185,14.46,58.028,NA
"SMCR8_175 2009-06-09",NA,8.57,8.26,NA,958,22.92,73.256,NA
"SMCR8_179 2009-06-01",NA,6.655,8.25,NA,1299,17.41,63.338,NA
"SMCR8_184 2009-07-07",NA,8.43,7.86,NA,231,16.31,61.358,NA
"SMCR8_191 2009-06-02",NA,6.58,8.35,NA,875,31.5,88.7,NA
"SMCR8_196 2009-05-24",NA,9.28,8.87,NA,58,12.07,53.726,NA
"SMCR8_197 2009-06-04",NA,11.38,8.98,NA,1015,27.48,81.464,NA
"SMCR8_197 2011-07-11",NA,20.65,9.45,0.22,0.453,31.18,88.124,NA
"SMCR8_207 2009-06-07",NA,8.03,8.37,NA,705,19.51,67.118,NA
"SMCR8_218 2009-06-23",NA,7.63,8.52,NA,65,9.87,49.766,NA
"SMCR8_219 2009-07-06",NA,8.76,7.73,NA,335,15.33,59.594,NA
"SMCR8_229 2009-06-01",NA,7.48,8.09,NA,1335,20.75,69.35,NA
"SMCR8_240 2010-06-23",NA,138.8,5.94,0.09,0.191,14.79,58.622,NA
"SMCR8_254 2009-06-16",NA,9.04,8.17,NA,175,12.06,53.708,NA
"SMCR8_254 2011-07-19",NA,15.48,6.55,0.08,170,14.61,58.298,NA
"SMCR8_262 2009-06-07",NA,12.36,8.88,NA,1257,26.44,79.592,NA
"SMCR8_274 2010-06-17",NA,21.6,6.25,0.11,232,18.97,66.146,NA
"SMCR8_275 2009-06-09",NA,8.98,8.51,NA,952,21.88,71.384,NA
"SMCR8_289 2009-06-03",NA,9.83,8.48,NA,719,16.56,61.808,NA
"SMCR8_299 2009-06-09",NA,9.7,8.05,NA,2559,21.17,70.106,NA
"SMCR8_312 2009-06-14",NA,7.87,7.74,NA,960,22.3,72.14,NA
"SMCR8_312 2011-07-26",NA,8.84,8.06,0.51,1034,21.68,71.024,NA
"SMCR8_317 2009-06-03",NA,9.21,8.6,NA,368,14.87,58.766,NA
"SMCR8_327 2009-06-28",NA,6.2,7.78,NA,643,31.76,89.168,NA
"SMCR8_333 2009-06-17",NA,9.02,8,NA,249,13.41,56.138,NA
"SMCR8_339 2009-06-08",NA,7.99,8.16,NA,1258,18.13,64.634,NA
"SMCR8_339 2011-07-25",NA,16.97,7.28,0.59,1188,23.1,73.58,NA
"SMCR8_344 2009-06-15",NA,8.12,8.1,NA,398,14.02,57.236,NA
"SMCR8_356 2010-06-10",NA,6.58,7.52,0.5,1005,21.78,71.204,NA
"SMCR8_376 2009-06-11",NA,9.31,7.81,NA,137,8.91,48.038,NA
"SMCR8_396 2010-05-27",NA,9.59,6.97,0.31,643,14.2,57.56,NA
"SMCR8_404 2011-06-15",NA,7.1,9.83,0.13,279,34.78,94.604,NA
"SMCR8_407 2010-06-21",NA,74.5,7.76,24,503,22.57,72.626,NA
"SMCR8_415 2009-07-08",NA,4.76,8.29,NA,381,31.12,88.016,NA
"SMCR8_418 2009-06-08",NA,9.45,8.36,NA,1969,27.66,81.788,NA
"SMCR8_418 2011-07-13",NA,9.3,8.43,0.48,0.978,25.12,77.216,NA
"SMCR8_436 2010-06-23",NA,14.52,5.22,0.07,154,13.18,55.724,NA
"SMCR8_439 2011-06-08",NA,8.12,8.07,0.58,1.171,26.14,79.052,NA
"SMCR8_445 2010-06-24",NA,9.5,5.39,0.14,82,9.05,48.29,NA
"SMCR8_453 2011-07-12",NA,9.56,7.57,0.13,279,29.05,84.29,NA
"SMCR8_467 2011-06-09",NA,9.95,6.89,0.58,1.17,19.65,67.37,NA
"SMCR8_474 2009-07-05",NA,10.53,7.66,NA,211,10.9,51.62,NA
"SMCR8_483 2011-06-06",NA,9.25,6.92,0.34,699,15.33,59.594,NA
"SMCR8_494 2011-06-20",NA,6.72,7.59,2.49,1.012,28.76,83.768,NA
"SMCR8_501 2011-06-14",NA,13.049,5.1,0.09,184,16.24,61.232,NA
"SMCR8_511 2011-06-09",NA,7.36,7.07,0.39,788,21.38,70.484,NA
"SMCR8_512 2011-07-19",NA,16.82,5.34,0.08,177,14.41,57.938,NA
"SMCR8_513 2009-06-22",NA,6.95,7.92,NA,233,16.26,61.268,NA
"SMCR8_521 2011-06-06",NA,8.95,10.2,0.49,1000,29.26,84.668,NA
"SMCR8_528 2011-07-11",NA,7.87,7.39,0.42,0.864,23.28,73.904,NA
"SMCR8_533 2011-06-07",NA,13.46,6.34,NA,255,15.23,59.414,NA
"SMCR8_549 2011-06-13",NA,11.94,7.61,1.34,2.603,23.65,74.57,NA
"SMCR8_558 2011-08-08",NA,13.54,8.34,0.58,1.175,23.45,74.21,NA
"SMCR8_566 2011-06-15",NA,22.2,10.13,0.29,604,29.28,84.704,NA
"SMCR8_572 2009-06-30",NA,9.1,8.71,NA,775,26.69,80.042,NA
"SMCR8_575 2011-06-07",NA,97.1,5.07,NA,220,17.4,63.32,NA
"SMCR8_590 2011-07-20",NA,28.47,6.24,0.4,96,8.54,47.372,NA
"SMCR8_593 2011-06-13",NA,12.77,6.67,1.8,3.42,19.49,67.082,NA
"SMCR8_594 2011-06-20",NA,7.1,7.14,0.25,528,24.8,76.64,NA
"SMCR8_598 2010-06-15",NA,10.23,8.34,0.37,748,20.08,68.144,NA
"SMCR8_600 2009-06-28",NA,9.54,7.63,NA,296,19.11,66.398,NA
"SMCR8_601 2009-06-24",NA,16.35,9.48,NA,343,29.97,85.946,NA
"SMCR8_605 2009-07-01",NA,7.54,7.48,NA,195,15.9,60.62,NA
"SMCR8_607 2011-07-19",NA,16.2,7.8,0.05,117,10.21,50.378,NA
"SMCR8_613 2009-06-29",NA,6.42,7.98,NA,784,26.87,80.366,NA
"SMCR8_618 2011-07-19",NA,10.34,5.69,0.02,420,12.99,55.382,NA
"SMCR8_622 2011-06-16",NA,9.61,6.97,1.04,2021,14.41,57.938,NA
"SMCR8_629 2011-07-14",NA,10.56,7.62,0.36,728,18.09,64.562,NA
"SMCR8_633 2011-07-26",NA,13.29,9.97,0.66,1346,34.37,93.866,NA
"SMCR8_688 2009-07-01",NA,8.74,7.58,NA,144,14.39,57.902,NA
"VA_RC 2010-06-02",NA,NA,NA,NA,NA,NA,NA,NA
"WN_RD 2010-05-27",NA,NA,NA,NA,NA,NA,NA,NA
"WN_RD1 2010-05-27",NA,NA,NA,NA,NA,NA,NA,NA
